title,company,location,posted,salary,description,keyword
Software Engineer,Akamai Technologies,N/A,N/A,N/A,"Job Description
Job Description

Do you love to create scalable solutions within a dynamic organization

Are you a software developer who loves solving complex problems

Join our Enterprise Applications Engineering Team

Akamai's success stems from marketing, sales, service, and tailored customer lifecycle management. Robust sales applications support this. Engineering teams in Cambridge and Bangalore develop, customise, and enhance these tools with vendors and business teams.

Partner with the best

The Software Engineer role involves customising, developing, and implementing Salesforce solutions for Akamai's Services and Support divisions. Work includes enhancing existing functionalities, creating new ones, and using the latest technologies. This position is part of the Enterprise Applications engineering team, focusing on delivering impactful applications and solutions.

As a Software Engineer, You Will Be Responsible For

Collaborating with Developers, Leads, Architects, Managers, and Business Teams to ensure timely, high-quality solution delivery.
Being adaptive and productive, learning to enhance, maintain, or build new solutions on Force.com platform.
Understanding and maintaining existing data models alongside mapping them to various business processes or solutions.

Do What You Love

To be successful in this role you will:

Have a Bachelor's degree in computer science or related field
Possess experience in Salesforce development, design, architecture, implementing, customizing, and creating platform solutions.
Have 1-2 years of experiences in developing applications using Salesforce lightning platform
Demonstrate proficiency in Object-Oriented Programming Technology.
Utilize integration expertise with MuleSoft or demonstrate Python proficiency.
Demonstrate exceptional communication (written and verbal) and interpersonal abilities.

Work in a way that works for you

FlexBase, Akamai's Global Flexible Working Program, is based on the principles that are helping us create the best workplace in the world. When our colleagues said that flexible working was important to them, we listened. We also know flexible working is important to many of the incredible people considering joining Akamai. FlexBase, gives 95% of employees the choice to work from their home, their office, or both (in the country advertised). This permanent workplace flexibility program is consistent and fair globally, to help us find incredible talent, virtually anywhere. We are happy to discuss working options for this role and encourage you to speak with your recruiter in more detail when you apply.

Learn what makes Akamai a great place to work

Connect with us on social and see what life at Akamai is like!

We power and protect life online, by solving the toughest challenges, together.

At Akamai, we're curious, innovative, collaborative and tenacious. We celebrate diversity of thought and we hold an unwavering belief that we can make a meaningful difference. Our teams use their global perspectives to put customers at the forefront of everything they do, so if you are people-centric, you'll thrive here.

Working for you

Benefits

At Akamai, we will provide you with opportunities to grow, flourish, and achieve great things. Our benefit options are designed to meet your individual needs for today and in the future. We provide benefits surrounding all aspects of your life:

Your health
Your finances
Your family
Your time at work
Your time pursuing other endeavors

Our benefit plan options are designed to meet your individual needs and budget, both today and in the future.

About Us

Akamai powers and protects life online. Leading companies worldwide choose Akamai to build, deliver, and secure their digital experiences helping billions of people live, work, and play every day. With the world's most distributed compute platform from cloud to edge we make it easy for customers to develop and run applications, while we keep experiences closer to users and threats farther away.

Join us

Are you seeking an opportunity to make a real difference in a company with a global reach and exciting services and clients Come join us and grow with a team of people who will energize and inspire you!",software engineer
Senior Software Engineer,DHL,N/A,N/A,N/A,"Job Description
Your IT Future, Delivered.

Senior Software Engineer

With a global team of 5800 IT professionals, DHL IT Services connects people and keeps the global economy running by continuously innovating and creating sustainable digital solutions. We work beyond global borders and push boundaries across all dimensions of logistics. You can leave your mark shaping the technology backbone of the biggest logistics company of the world. Our offices in Cyberjaya, Prague, and Chennai have earned #GreatPlaceToWork certification, reflecting our commitment to exceptional employee experiences.

Digitalization. Simply delivered.

At IT Services, we are passionate about Agile, DevOps, Java, Angular, ReAct JS, SAG WebMethod, Kubernetes, Jenkins, Automation and many others methodology, technology, platform or framework that can improve business efficiencies. Our Custom Integration team is continuously expanding. No matter your level of consultancy proficiency, you can always grow within our diverse environment.

#DHL #DHLITServices #GreatPlace #DevOps #Consultant #Clearance

Grow together.

Customs Clearance is mission critical domain in DHL Express which our applications are integrating with Customs / Regulator / Compliance to enable / authorize the shipments before leaving the country (export) and before entering the country (import). There is possible as well in some countries, the shipment is pass through (transit) and required by country regulator to declare those.

As part of DevOps team IT Consultant, you will be providing consultancy to the business on end to end IT landscape and helping them to onboard to EGAP platform to enable the process of declaration via IT tools and platform. Sometimes, business is expecting suggestions / proposals from consultant to help on process automation to bring business efficiency with less cost and time.

With the concept of product team, it is important that the consultant can understand product in terms of technology framework, cost, security /vulnerability and managing business stakeholder expectations. This requires some experiences in logistic environment specialize in Customs process.

Last but not least, knowledge of IT landscape like networking, security, web, cloud technology are all in your support league.

Ready to embark on the journey Here's what we are looking for:

As a Senior DevOps Engineer, having logical analysis skill, in depth knowledge about SAG WebMethod, Development via SAG WebMethod is a huge plus. Very good knowledge of IT Landscape, technology framework, Cloud and AI will also be an integral part of this role.

You are a DevOps Engineer aficionado, therefore you have a good understanding of Development methodology and tools (Agile, Jira) and full stack development from front end to back end, as well as knowledge in communication protocol i.e. MQ, SFTP, WebService, REST etc. You are able to work independently, prioritize and organize your tasks under time and workload pressure. Working in a multinational environment, you can expect cross-region collaboration with teams around the globe, thus being advanced in spoken and written English will be certainly useful.

An array of benefits for you:

Hybrid work arrangements to balance in-office collaboration and home flexibility.
Annual Leave: 42 days off apart from Public / National Holidays.
Medical Insurance: Self + Spouse + 2 children. An option to opt for Voluntary Parental Insurance (Parents / Parent -in-laws) at a nominal premium covering pre existing disease.
In House training programs: professional and technical training certifications.",software engineer
Senior Software Engineer II,LexisNexis Risk Solutions,N/A,N/A,N/A,"Job Description
Job Description

Senior Software Engineer

Are you an experienced developer with a can do attitude and enthusiasm that inspires others

Do you enjoy being part of team that develops high-quality code

About The Business

At ICIS, our mission is to optimize the world's resources. We help companies make strategic, sustainable decisions by bringing transparency to markets across the world. We create a comprehensive view of commodities markets, providing companies with the data and intelligence to successfully navigate across global value chains every day. Our customers benefit from instant access to price assessments, reports and forecasts, a dedicated news channel and supply and demand data. You can learn more about ICIS at the link below. https://www.icis.com/explore

About The Team

This is an exciting opportunity to join a mature and established software engineering team within the ITTC team, and work in a modern, collaborative, agile development environment to help shape a business-critical software platform that plays a vital role in the success of the organization. You will join a team engaged in delivering web services and applications to the petrochemical and energy industries.

About The Role

As a Software Engineer III, you will play a key role in designing, developing, and maintaining complex software solutions. Your expertise will drive innovation and efficiency, contributing to the success of our projects. You will collaborate with cross-functional teams to deliver high-quality, scalable software products.

Responsibilities

Build and maintain the software solutions assigned to team.
Troubleshoot issues reported by the customers.
Participate in knowledge sharing sessions with the wider group.
Contribute to the planning efforts with analysis and estimation of the proposed product work.
Provide support to other teams.
Contribute to the continuous improvement effort.

Requirements

Strong interpersonal skills, including communication
Strong knowledge on C# ( .Net framework and .Net Core) and Full Stack Development Experience
Strong Experience in web frontend React 18, including functional components, hooks, JSX, and Context API
Proficiency in TypeScript , ES6
Solid knowledge HTML5 / CSS3 web standards.
Experience in writing unit test using Jest or similar frameworks
Experience with Node and npm/yarn
Experience in CI/CD pipelines using Gitlab or GitHub
Experience working in Agile teams & familiar with JIRA tool.
Security Engineering best practices
Docker and Kubernetes
AWS Cloud experience
Experience in monitoring tools such as Kibana and Grafana
Implement the features and user interfaces of the customer facing & internal systems.
Architect efficient and reusable front-end systems
Collaborate with Product Designers, Product Managers, and Software Engineers to deliver compelling user-facing products.
Excellent problem-solving skills
A real interest and passion for software development and high-quality code
Capability to handle non-development tasks, including documentation, presentations, and knowledge sharing

Learn more about the LexisNexis Risk team and how we work here

At LexisNexis Risk Solutions, having diverse employees with different perspectives is key to creating innovative new products for our global customers. We have 30 diversity employee networks globally and prioritize inclusive leadership and equitable processes as part of our culture. Our aim is for every employee to be the best version of themselves. We would actively welcome applications from candidates of diverse backgrounds and underrepresented groups.

We are an equal opportunity employer: qualified applicants are considered for and treated during employment without regard to race, color, creed, religion, sex, national origin, citizenship status, disability status, protected veteran status, age, marital status, sexual orientation, gender identity, genetic information, or any other characteristic protected by law. We are committed to providing a fair and accessible hiring process. If you have a disability or other need that requires accommodation or adjustment, please let us know by completing our Applicant Request Support Form: https://forms.office.com/r/eVgFxjLmAK , or please contact 1-855-833-5120.

Please read our Candidate Privacy Policy.",software engineer
Senior Security Software Engineer,Thales Group,N/A,N/A,N/A,"Job Description
Thales people architect identity management and data protection solutions at the heart of digital security. Business and governments rely on us to bring trust to the billons of digital interactions they have with people. Our technologies and services help banks exchange funds, people cross borders, energy become smarter and much more. More than 30,000 organizations already rely on us to verify the identities of people and things, grant access to digital services, analyze vast quantities of information and encrypt data to make the connected world more secure.
Present in India since 1953, Thales is headquartered in Noida, Uttar Pradesh, and has operational offices and sites spread across Bengaluru, Delhi, Gurugram, Hyderabad, Mumbai, Pune among others. Over 1800 employees are working with Thales and its joint ventures in India. Since the beginning, Thales has been playing an essential role in India's growth story by sharing its technologies and expertise in Defence, Transport, Aerospace and Digital Identity and Security markets.
AdvSec - Senior Security Software Engineer - Passionate Reverse Engineer
You will be part of our Advanced Security Engineering team, working in an agile environment to develop creative ideas for our next generation products in small, collaborative SCRUM teams.
Your Tasks:
Be a member of our SCRUM team and work together with our software developers and test automation engineers in a single team
Find and implement new concepts and methods to protect code and data against Reverse Engineering
Work closely with the Product Owner and System Architect to define and implement new products
Build, review and improve cross-platform security tools and libraries
Take responsibility for the security in the design and implementation of new features
Analyze existing software modules for security weaknesses
Support the Test Automation engineers in the test preparations
Effectively use team collaboration tools (JIRA, Confluence)
Your Qualification:
Degree in computer science, information technology or equal experience in the field
Several years of experience in system-level development in C/C++, mainly on Windows
Knowledge of other environments (e.g. Linux, .NET, Java, Python, Javascript) is an advantage
High level of enthusiasm in software protection technologies
Very good knowledge of assembler, linkers, loaders and executable binary formats (you like handling bits and bytes)
Experience in debugging at binary code level
Knowledge of cryptography is an advantage
You enjoy working in a team-oriented, international, intercultural environment
Fluent in English
At Thales we provide CAREERS and not only jobs. With Thales employing 80,000 employees in 68 countries our mobility policy enables thousands of employees each year to develop their careers at home and abroad, in their existing areas of expertise or by branching out into new fields. Together we believe that embracing flexibility is a smarter way of working. Great journeys start here, apply now!",software engineer
Senior Java Software Engineer,Dew Solutions Pvt Ltd,N/A,N/A,N/A,"Job Description
Company Description
Dew Solutions is a premier provider of IT services for large-enterprise, mid-tier organizations, and startups, specializing in mobile app development. With a core team of 650+ employees, we offer services in technology provisioning, enterprise software licensing, managed operations, IT infrastructure, network solutions, web application development, and project management. Dew Solutions differentiates itself through service excellence, flexibility, business value, and a passion for customer success.
Role Description
This is a full-time hybrid role for a Senior Java Software Engineer at Dew Solutions Pvt Ltd. The role is based in Gurugram with the possibility of some work from home. The Senior Java Software Engineer will be responsible for software development, microservices, programming, using the Spring Framework, and Java development.
Qualifications
Software Development and Java skills
Experience with Microservices and Programming
Proficiency in the Spring Framework
Strong problem-solving and analytical skills
Bachelor's degree in Computer Science or related field
Experience in Agile development methodologies
Excellent communication and teamwork skills
Knowledge of cloud computing and DevOps is a plus",software engineer
Principal Software Engineer,UKG,N/A,N/A,N/A,"Job Description
Company Overview

With 80,000 customers across 150 countries, UKG is the largest U.S.-based private software company in the world. And we're only getting started. Ready to bring your bold ideas and collaborative mindset to an organization that still has so much more to build and achieve Read on.

At UKG, you get more than just a job. You get to work with purpose. Our team of U Krewers are on a mission to inspire every organization to become a great place to work through our award-winning HR technology built for all.

Here, we know that you're more than your work. That's why our benefits help you thrive personally and professionally, from wellness programs and tuition reimbursement to U Choose a customizable expense reimbursement program that can be used for more than 200+ needs that best suit you and your family, from student loan repayment, to childcare, to pet insurance. Our inclusive culture, active and engaged employee resource groups, and caring leaders value every voice and support you in doing the best work of your career. If you're passionate about our purpose people then we can't wait to support whatever gives you purpose. We're united by purpose, inspired by you.

The Lead Engineer is responsible for creating solutions for global customer needs to meet their interfacing requirements with UKG's products in their environment. The interfacing requirements could be creating different kind of repeatable and highly configurable Boomi integrations and BPM Activiti workflows and creating automated test scripts to test the integrations. The Engineer should have in-depth knowledge of the Boomi and some knowledge of related tools like Postman which will assist in creating these customized and repeatable solutions.

The successful candidate will utilize the defined implementation process to meet the established implementation milestones and targeted completion dates. They will work closely with team for development tasks and will work closely with the UKG Product Management team.

Other Responsibilities Will Include The Following Tasks

Understanding the requirements from the product managers
Creating Functional requirement document enlisting detailed user stories and use cases
Coming up with detailed technical test cases for functional requirements in close collaboration with business analyst
Helping Architects in preparing the design document and recommendations for optimal solution approach
Coding, testing and deploying the Boomi interfaces
Coding, testing and deploying the Activiti BPM workflows
Creating Groovy scripts to be used in Boomi integrations and Activiti workflows
Creating automated test scripts to test Boomi iPacks
Working closely with developers to resolve technical issues in Boomi, Groovy and Activiti
Owning technical delivery for assigned projects to deliver within timelines and with good quality

Where we're going

UKG is on the cusp of something truly special. Worldwide, we already hold the #1 market share position for workforce management and the #2 position for human capital management. Tens of millions of frontline workers start and end their days with our software, with billions of shifts managed annually through UKG solutions today. Yet it's our AI-powered product portfolio designed to support customers of all sizes, industries, and geographies that will propel us into an even brighter tomorrow!

UKG is proud to be an equal opportunity employer and is committed to promoting diversity and inclusion in the workplace, including the recruitment process.

Disability Accommodation

For individuals with disabilities that need additional assistance at any point in the application and interview process, please email [Confidential Information]",software engineer
Software Engineer Level 1,Metquay Inc.,N/A,N/A,N/A,"Job Description
Position Overview:
Join Our Amazing Team as a Software Engineer Level 1 !
Metquay Inc is seeking a Level 1 Software Engineer to join our dynamic team dedicated to developing innovative B2B software solutions for commercial and internal calibration labs. We're looking for enthusiastic individuals with basic coding skills and a willingness to learn. Familiarity with Java or React is a plus, as we collaborate to create cutting-edge software that addresses our clients needs. Join us in our mission to innovate and grow, contributing one line of code at a time!
Qualifications and Skills:
Education:
Bachelor's degree in Computer Science, IT, or a related field (or equivalent knowledge).
Freshers with better conceptual knowledge of computers and programming languages are also welcome.
Technical Skills:
Proficiency in programming languages such as Java, JavaScript (Required)
Proficiency in frontend frameworks such as React.js
Proficiency in backend frameworks such as Node.js or Spring Boot
Proficiency in databases such as Postgres
Knowledge of software development lifecycle and methodologies
Understanding of data structures and algorithms
Soft Skills:
Strong attention to detail and analytical thinking.
Good communication and teamwork skills.
Willingness to learn and adapt to new challenges.
Ability to work independently and in teams
Excellent problem-solving and analytical skills
Day to Day
Your day-to-day may consist of :
Meeting with the team for discussions and design reviews
Writing code based on best practices for the application
Reviewing the code of peers
Learning new technologies
Manual testing of features
Documentation",software engineer
Senior Software Engineer,Finastra,N/A,N/A,N/A,"Job Description
Who are we

At Finastra, we are a dynamic global provider of open finance software solutions, dedicated to expanding access to financial services. Our innovative applications span Lending, Payments, Treasury and Capital Markets, and Universal Banking. Proudly serving over 8,000 customers, including 45 of the world's top 50 banks, we aim to boost financial inclusion for all. Join us and be part of a vibrant company that embraces diverse perspectives, and is committed to doing well by doing good.

Required Skills, Knowledge & Experience

Proven experience and ability to design solution architecture for Core Banking implementations.
Expertise in developing Java Spring Boot Microservices
Capability to articulate and design product extensibility, customizations, and integrations in alignment with product architecture.
Proficiency in designing and developing applications using Java EE platforms with understanding Software Development Life Cycle.
Understanding of Testable, Secure and Performant Coding practices
Strong knowledge of Relational Databases, with expertise in at least one of the following: Oracle, IBM DB2, or PostgreSQL, along with Liquibase concepts.
Expertise in designing and developing applications using Messaging Technologies such as JMS, Active MQ, Kafka and Debezium.
Proficiency in Azure Technologies, including Azure Storage, Azure Event Hub, Azure Service Bus, and Azure Fundamentals.
Solid understanding of J2EE application servers such as WebSphere, JBoss and Apache Tomcat.
A good blend of technical and functional knowledge to architect, design, and implement solutions.
Excellent problem-solving and analytical skills.
Strong verbal, written, and telephonic communication skills.

Benefits

We are proud to offer a range of incentives to our employees worldwide. These benefits are available to everyone, regardless of grade, and reflect the values we uphold:

Flexibility: Enjoy unlimited vacation, based on your location and business priorities. Hybrid working arrangements, and inclusive policies such as paid time off for voting, bereavement, and sick leave.
Well-being: Access confidential one-on-one therapy through our Employee Assistance Program, unlimited personalized coaching via our coaching app, and access to our Gather Groups for emotional and mental support.
Medical, life & disability insurance, retirement plan, lifestyle and other benefits*
ESG: Benefit from paid time off for volunteering and donation matching.
DEI: Participate in multiple DE&I groups for open involvement (e.g., Count Me In, Culture@Finastra, Proud@Finastra, Disabilities@Finastra, Women@Finastra).
Career Development: Access online learning and accredited courses through our Skills & Career Navigator tool.
Recognition: Be part of our global recognition program, Finastra Celebrates, and contribute to regular employee surveys to help shape Finastra and foster a culture where everyone is engaged and empowered to perform at their best.
Specific benefits may vary by location.

At Finastra, each individual is unique, bringing their own ideas, thoughts, cultural beliefs, backgrounds, and experiences together. We learn from one another, embrace and celebrate our differences, and create an environment where everyone feels safe to be themselves.

Be unique, be exceptional, and help us make a difference at Finastra!",software engineer
Software Engineer Python,Flexsin Inc.,N/A,N/A,N/A,"Job Description
Job Description

We are hiring Full Stack Python Developer with API integration. The incumbent should be proficient in the Django Framework.

Responsibilities

Immediate joiners will be preferred.

Expert in Core Python with Django Framework.
Must have experience in writing and understanding complex MySQL/Postgres queries.
Efficient in writing optimized and secure code.
Hands-on experience on
Github.
Docker.
Cloud platforms like AWS or GCP.
Interacting with Third-party solutions.
Building API and Integration.
Experience in Django/Odoo/Flask Framework will be the plus point.
Knowledge of Front ends like Angular.JS, Vue.jS, and React.jS will be the plus point.
Good communication skills, and problem solver. Good Learner and Team player
Responsible for working on back End functionality, Adhering to delivery timeline.
Provide solutions for the given business requirement, Adhere to delivering work on time
Should be proactive towards challenges and hurdles.",software engineer
Lead Software Engineer,Principal Global Services,N/A,N/A,N/A,"Job Description
Responsibilities

About the Team: Our API Platform Engineering team is focused on enabling teams across the company to build and integrate APIs efficiently. We provide the tools, standards, and best practices that empower developers to create secure, scalable, and high-quality APIs. If you're passionate about improving developer workflows, shaping API governance, and fostering an API-first culture, we'd love to hear from you.

Vision: Ensure teams have the foundation to leverage APIs as strategic enablers and core products contributing to exponential growth.

Strategy: We strive to solve problems within four key pillars:

Standards and Governance: Engineers need clear API standards and efficient ways to meet API standards.
Security: Engineers need to properly secure APIs which they produce and consume.
Engineer Advocacy: Engineers need the right tools and platforms to produce and consume APIs.
API Culture: Shift engineering mindset and culture to API-first.

Responsibilities:

Manage and enhance the API portal to improve developer experience.
Design and implement API resources within AWS.
Collaborate with cloud engineering teams and stakeholders to address API challenges.
Improve API security, monitoring, logging, and observability to ensure platform reliability.
Assist development teams in defining API standards, governance, and best practices.
Support automation efforts for infrastructure provisioning, CI/CD pipelines, and deployments.
Provide guidance and support to development teams on API design and integrations.

Qualifications:

Experience with cloud platforms, particularly AWS, with some exposure to API Gateway, Lambda, and IAM policies.
Programming skills in Python or Typescript, with a willingness to learn best practices for clean, maintainable code.
Some experience or familiarity with API platforms, specifically AWS API Gateway or Apigee.
Familiarity with Infrastructure as Code (IaC) concepts and practices.
Understanding of API security concepts (OAuth, JWT, etc.) and a desire to learn more.
Foundational knowledge of RESTful and GraphQL API design principles, with an eagerness to grow in this area.

Additional Preferred Technical Experience:

Github and CI/CD pipelines
Application development or infrastructure automation
Security engineering mindset

Keys To Success:

Strong collaboration
Constant curiosity
Analytical ability
Problem solving skills
Self-starter
Empathy

Qualifications

Bachelor of Engineering",software engineer
Embedded Java Software Engineer,Carrier,N/A,N/A,N/A,"Job Description
Country

India

Location:

Building No: 12C, Floor 9,10,11, Building No: 12B -Stilt floor, Raheja Mindspace, Cyberabad, Madhapur, Hyderabad - 500081, Telangana, India

Role: Embedded Java Engineer

Location: Hyderabad, India

Full/ Part-time: Full time

Build a career with confidence

Carrier Global Corporation, global leader in intelligent climate and energy solutions is committed to creating solutions that matter for people and our planet for generations to come. From the beginning, we've led in inventing new technologies and entirely new industries. Today, we continue to lead because we have a world-class, diverse workforce that puts the customer at the center of everything we do.

About The Role

An Embedded Java Software Developer is responsible for designing, developing, and maintaining Java-based firmware solutions for embedded systems. This individual will work on all aspects of Java-centric embedded firmware, focusing on the interaction between the software and hardware components of the system. The role requires a deep understanding of both Java programming and embedded systems, as well as experience with low-level system interactions, including hardware abstraction and real-time constraints. The ideal candidate possesses strong problem-solving skills, a passion for innovation, and an ability to create scalable and maintainable embedded software solutions.

In this role, you will be involved in key phases of development, from project planning and implementation to testing and deployment, ensuring that the embedded firmware meets the performance and functional requirements of our products. You will also contribute to advancing our product offerings and supporting legacy firmware systems by providing expert-level product knowledge.

Role & Responsibilities

Develop and maintain Java-based embedded firmware solutions using Agile methodologies.
Write and maintain Java firmware that interacts with low-level hardware components (e.g., sensors, actuators, communication protocols).
Participate in project planning by investigating solutions to embedded system challenges and providing accurate estimates.
Collaborate with hardware and systems engineering teams to ensure smooth integration of firmware with embedded hardware components.
Apply real-time operating system (RTOS) concepts, ensuring that the embedded firmware meets timing and performance requirements.
Use test-driven development (TDD) methodologies to write unit and functional tests, ensuring firmware quality and reliability.
Debug and resolve hardware/firmware interaction issues using diagnostic tools and methodologies.

Education Qualifications

BS in Computer Science, Software Engineering, Electrical Engineering, or related field required.
Certifications or coursework related to embedded systems development is a plus.

Minimum Requirements

Strong Java programming skills with experience in embedded Java applications.
Experience with embedded Linux or RTOS environments.
Familiarity with low-level hardware interfaces and communication protocols (e.g., I2C, SPI, UART, GPIO, CAN).
Experience in Test-Driven Development (TDD) and unit/functional testing for embedded systems.
Experience in Java-based memory management, garbage collection tuning, and optimization in resource-constrained environments.
Familiarity with real-time constraints and ensuring that firmware meets timing and performance requirements.
Knowledge of hardware abstraction layers (HAL) and writing device drivers in Java.
Experience with Gradle, Maven, or other build systems for embedded projects.
Understanding of embedded system design, including power management and optimization for energy-efficient devices.
Familiarity with debugging tools (e.g., JTAG, oscilloscopes) and Linux-based diagnostic tools (e.g., dmesg, strace).
Experience working in an Agile/Scrum development process.

Benefits

We are committed to offering competitive benefits programs for all of our employees, and enhancing our programs when necessary.

Enjoy your best years with our retirement savings plan
Have peace of mind and body with our health insurance
Make yourself a priority with flexible schedules, parental leave and our holiday purchase scheme
Drive forward your career through professional development opportunities
Achieve your personal goals with our Employee Assistance Programme.

Our commitment to you

Our greatest assets are the expertise, creativity and passion of our employees. We strive to provide a great place to work that attracts, develops and retains the best talent, promotes employee engagement, fosters teamwork and ultimately drives innovation for the benefit of our customers. We strive to create an environment where you feel that you belong, with diversity and inclusion as the engine to growth and innovation. We develop and deploy best-in-class programs and practices, providing enriching career opportunities, listening to employee feedback and always challenging ourselves to do better. This is The Carrier Way.

Join us and make a difference.

Apply Now!

#cbsfinance

Carrier is An Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status, age or any other federally protected class.

Job Applicant's Privacy Notice

Click on this link to read the Job Applicant's Privacy Notice",software engineer
Sr Software Engineer People Technologies SnapLogic,Sony India,N/A,N/A,N/A,"Job Description
Our Product an Innovations team is looking for your support to further develop and establish the way our HR systems are integrated within the wider system landscape.

You will provide technical expertise and thought leadership to the Global HR Platform organization on how best to leverage its Integration Platform as a Service (IPaaS) platform.

You will be responsible to ensure a stable, reliable and effective operating environment to support the IPaaS platform and related infrastructure (e.g., servers). You'll also lead the design of data integration approaches that meet business requirements and leverage investment in IPaaS. You should aim to establish and maintain an effective working relationship with the product vendor (focused on technical capability, incident management, support and platform strategy, including updates, patches and new features), as well as the development teams that will use the integration platform. It is also expected that you will contribute to the creation and maintenance of development standards for the effective use of the integration platform.",software engineer
Senior Software Engineer 1,Saama,N/A,N/A,N/A,"Job Description
Description

Mandatory Skills

Advanced Core Java skills

Spring Boot with JPA/Hibernate, Gateway and Rest

Expertise in any major cloud and developing cloud-compatible components

Experience working in at least 1 project / one product that went live successfully

Has to be hands-on developer

Nice To Have

Kuberentes exp

AWS Cloud exp

Keycloak exp

Product Development exp

Agile Software development exp",software engineer
Graduate Software Engineer,Archipelago,N/A,N/A,N/A,"Job Description
Who we are:
Welcome to Archipelago, where we're redefining the landscape of commercial property insurance with our AI-powered data network. We believe in the power of accurate information to drive meaningful business decisions and offer solutions to generate that accurate information as easily and efficiently as possible. By connecting brokers, owners, and insurers, we empower our customers to navigate the complexities of the property insurance and risk management processes with confidence.
Archipelago was founded in 2018 and serves many of the world's largest property brokers and their clients, representing over 500 of the worlds largest and most dynamic commercial property portfolios to improve their data and better represent their risks. Archipelago has achieved Series B funding from industry-leading investment partners including Scale, Canaan Partners, Ignition Partners, Prologis Ventures, Stone Point Capital, and Zigg Capital.
Join us at Archipelago and be part of a team dedicated to transforming the commercial property insurance industry. We're seeking individuals with a passion for innovation, a commitment to excellence, and a drive to further elevate and empower our customers.
If you're ready to make a meaningful impact and be part of a dynamic, forward-thinking company, we invite you to explore our job opportunities and join us on our journey to keep data accurate and workflows seamless.
NOTE: Preferred candidates to be located in Noida, India. This is a temporary position with opportunity to transition to full-time employment.
Who you are:
We are looking for a passionate and motivated Graduate Software Engineer to join our dynamic development team. As a new graduate, you will have the opportunity to learn and grow in a supportive and innovative environment, contributing to the development of cutting-edge software solutions.
Responsibilities:
Collaborate with senior engineers and cross-functional teams to design, develop, and maintain software applications.
Write clean, efficient, and well-documented code according to best practices.
Participate in code reviews to ensure quality and maintainability.
Assist in the troubleshooting and debugging of software issues.
Continuously learn and apply new technologies and programming techniques.
Test and debug applications, ensuring they meet quality standards and performance benchmarks.
Contribute to the improvement of development processes, tools, and practices.
Key Outcomes you are responsible for:
Attend 3 code reviews with peers and mentors per month to improve coding standards and practices
Write and commit at least 20 pull requests with code that adheres to team standards during the internship
Learn and use version control (e.g., Git) with at least 90% success rate for task completion
Successfully complete at least 3 small-to-medium-sized tasks or bug fixes on active projects per iteration
Conduct 2 knowledge-sharing sessions or document a technical topic (e.g., architecture, tools, or a framework you've learned)
Qualifications:
A Bachelor's degree in Computer Science, Software Engineering, Information Technology, or a related field.
Strong understanding of fundamental programming concepts such as data structures, algorithms, and object-oriented programming.
Proficiency in at least one programming language such as Java, Python, Golang..
Familiarity with software development methodologies like Agile or Scrum.
Knowledge of version control systems, preferably Git.
Basic understanding of databases and SQL.
A passion for coding and problem-solving.
Ability to work collaboratively in a team environment.
Strong analytical and troubleshooting skills.
Excellent written and verbal communication skills.
Preferred (Not Required)
Internship or project experience in software development, including the creation of web, mobile, or desktop applications.
Familiarity with front-end technologies (HTML, CSS, JavaScript, frameworks like React or Angular).
Experience with cloud platforms (AWS, Azure, or Google Cloud) and containerization (Docker, Kubernetes).
Exposure to test-driven development (TDD) and automated testing.
Knowledge of DevOps practices and CI/CD pipelines.
Soft Skills:
Eagerness to learn and adapt to new technologies.
Strong problem-solving mindset.
Ability to take initiative and work independently when needed.
Good interpersonal skills and the ability to work effectively in a collaborative environment.
What We Offer:
A supportive and inclusive work culture.
Mentorship and continuous learning opportunities.
Exposure to cutting-edge technologies and projects.
Career growth and development opportunities.
If you're a recent graduate with a passion for technology and a desire to learn and grow in a software development career, we encourage you to apply!",software engineer
